External Application Send Log =>
    [  9], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 10], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 11], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 12], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 13], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 14], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 15], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 16], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 17], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 18], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 19], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 20], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 21], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 22], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 23], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 24], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 25], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
    [ 26], 0000/00/00, 00:00:00, [0x0000], H=0x0, Cmd=0x0
